"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"SPRCOM-92052 My Sprint App Android - Sales","SPRCOM-105700 My Sprint App Android - LoginAO Sales","SPRCOM-105702 My Sprint App Android - MainPage: Upgrade the device","1","0","0","0","0"
"SPRCOM-92050 My Sprint App Android - Payment","SPRCOM-105300 My Sprint App Android - NonLogin Payment","SPRCOM-105306 Payment Test with card types(Number)","1","0","2","0","0"
"SPRCOM-92051 My Sprint App Android - LOGIN","SPRCOM-105400 My Sprint App Android - LoginAO","SPRCOM-105404 Test Login with type of account owner","0","0","1","0","0"
"SPRCOM-92052 My Sprint App Android - Sales","SPRCOM-105700 My Sprint App Android - LoginAO Sales","SPRCOM-105706 My Sprint App iOS - MainPage: Upgrade Device and save to Cart","1","0","0","0","0"
"SPRCOM-92050 My Sprint App Android - Payment","SPRCOM-105500 My Sprint App Android - LoginAO Payment","SPRCOM-105506 LoginAO Add New Card to account - from payment page","0","0","1","0","0"
"SPRCOM-92051 My Sprint App Android - LOGIN","SPRCOM-105400 My Sprint App Android - LoginAO","SPRCOM-105402 My Sprint App Android - MDN Change","0","0","1","0","0"
"SPRCOM-92052 My Sprint App Android - Sales","SPRCOM-105700 My Sprint App Android - LoginAO Sales","SPRCOM-105708 My Sprint App Android - MainPage: Upgrade Device and save to Cart","1","0","0","0","0"
"SPRCOM-92050 My Sprint App Android - Payment","SPRCOM-105300 My Sprint App Android - NonLogin Add Payment Method","SPRCOM-105302 Payment - Add new payment method","0","0","1","0","0"
"SPRCOM-92050 My Sprint App Android - Payment","SPRCOM-105500 My Sprint App Android - LoginAO Payment","SPRCOM-105504 Basic Payment Functional Tests","0","0","1","0","0"
"SPRCOM-92050 My Sprint App Android - Payment","SPRCOM-105300 My Sprint App Android - NonLogin Payment","SPRCOM-105304 Payment amount testing","0","0","1","0","0"
